Site,Year,Date,Plot,Location,Snow_cover,Observer
barr,2011,6/6/11,brw6,j2,0,abankert
barr,2011,6/6/11,brw6,j4,0,abankert
barr,2011,6/6/11,brw6,j6,55,abankert
barr,2011,6/6/11,brw6,l2,0,abankert
barr,2011,6/6/11,brw6,l4,20,abankert
barr,2011,6/6/11,brw6,l6,0,abankert
barr,2011,6/8/11,brw5,l4,45,jcunningham
eaba,2013,6/9/13,NA,sno05,100,egirard/akataluk-primeau
eaba,2013,6/9/13,NA,sno06,100,egirard/akataluk-primeau
eaba,2013,6/9/13,NA,sno01,100,egirard/akataluk-primeau/sjeswiet
eaba,2013,6/9/13,NA,sno02,100,egirard/akataluk-primeau/sjeswiet
eaba,2013,6/9/13,NA,sno03,100,egirard/akataluk-primeau/sjeswiet
eaba,2013,6/9/13,NA,sno04,100,egirard/akataluk-primeau/sjeswiet
eaba,2013,6/10/13,NA,sno09,100,egirard/akataluk-primeau/sjeswiet
eaba,2013,6/10/13,NA,sno07,100,egirard/sjeswiet
eaba,2013,6/10/13,NA,sno08,100,egirard/sjeswiet
eaba,2013,6/11/13,NA,sno01,95,egirard
eaba,2013,6/11/13,NA,sno03,98,egirard
eaba,2013,6/11/13,NA,sno09,99,egirard/akataluk-primeau/sjeswiet
eaba,2013,6/11/13,NA,sno02,100,egirard/sjeswiet
eaba,2013,6/11/13,NA,sno04,98,egirard/sjeswiet
eaba,2013,6/11/13,NA,sno05,98,sjeswiet
eaba,2013,6/11/13,NA,sno06,100,sjeswiet
eaba,2013,6/11/13,NA,sno07,100,sjeswiet
eaba,2013,6/11/13,NA,sno08,100,sjeswiet
eaba,2013,6/13/13,NA,sno04,98,egirard
eaba,2013,6/13/13,NA,sno06,100,egirard
eaba,2013,6/13/13,NA,sno07,40,egirard
eaba,2013,6/13/13,NA,sno08,98,egirard
eaba,2013,6/14/13,NA,sno02,96,akataluk-primeau/sjeswiet
eaba,2013,6/15/13,NA,sno02,95,akataluk-primeau/egirard
eaba,2013,6/15/13,NA,sno05,50,sjeswiet
eaba,2013,6/15/13,NA,sno06,99,sjeswiet
eaba,2013,6/15/13,NA,sno07,40,sjeswiet
eaba,2013,6/15/13,NA,sno08,98,sjeswiet
eaba,2013,6/15/13,NA,sno05,0,sjeswiet/lpollock
eaba,2013,6/15/13,NA,sno07,40,sjeswiet/lpollock
eaba,2013,6/15/13,NA,sno08,80,sjeswiet/lpollock
eaba,2013,6/16/13,NA,sno05,0,akataluk-primeau/egirard
eaba,2013,6/16/13,NA,sno07,30,akataluk-primeau/egirard
eaba,2013,6/16/13,NA,sno10,0,akataluk-primeau/egirard
eaba,2013,6/16/13,NA,sno01,0,sjeswiet
eaba,2013,6/16/13,NA,sno02,40,sjeswiet
eaba,2013,6/16/13,NA,sno09,0,sjeswiet
eaba,2013,6/17/13,NA,sno09,0,akataluk-primeau
eaba,2013,6/17/13,NA,sno01,0,egirard
eaba,2013,6/17/13,NA,sno02,0,egirard
eaba,2013,6/17/13,NA,sno03,0,egirard
eaba,2013,6/17/13,NA,sno04,0,egirard
eaba,2013,6/17/13,NA,sno05,0,sjeswiet
eaba,2013,6/17/13,NA,sno06,0,sjeswiet
eaba,2013,6/17/13,NA,sno10,0,sjeswiet
made,2013,6/9/13,fishb,a11,0,gmccune
made,2013,6/23/13,fishb,g13,0,lbachellier
nome,2011,5/20/11,central,11SN11,25,eescajeda
nome,2011,5/20/11,east,11SN12,15,eescajeda
nome,2011,5/20/11,east,11SN13,40,eescajeda
nome,2011,5/20/11,east,11SN14,40,eescajeda
nome,2011,5/20/11,east,11SN15,30,eescajeda
nome,2011,5/20/11,east,11SN16,50,eescajeda
nome,2011,5/20/11,east,11SN17,50,eescajeda
nome,2011,5/20/11,central,11SN05,10,ekwon
nome,2011,5/20/11,central,11SN06,10,ekwon
nome,2011,5/20/11,central,11SN07,10,ekwon
nome,2011,5/20/11,central,11SN08,15,ekwon
nome,2011,5/20/11,central,11SN09,20,ekwon
nome,2011,5/20/11,central,11SN10,35,ekwon
nome,2011,5/20/11,west,11SN01,5,ekwon
nome,2011,5/20/11,west,11SN02,5,ekwon
nome,2011,5/20/11,west,11SN03,10,ekwon
nome,2011,5/20/11,west,11SN04,5,ekwon
nome,2011,5/22/11,east,11SN18,40,eescajeda
nome,2011,5/22/11,east,11SN19,60,eescajeda
nome,2011,5/22/11,central,11SN05,0,tesson
nome,2011,5/22/11,central,11SN06,0,tesson
nome,2011,5/22/11,central,11SN07,15,tesson
nome,2011,5/22/11,central,11SN08,15,tesson
nome,2011,5/22/11,central,11SN09,5,tesson
nome,2011,5/22/11,central,11SN10,15,tesson
nome,2011,5/22/11,west,11SN01,0,tesson
nome,2011,5/22/11,west,11SN02,1,tesson
nome,2011,5/22/11,west,11SN03,5,tesson
nome,2011,5/22/11,west,11SN04,10,tesson
cari,2014,6/13/14,5b,14,0,cmontgomerie
